voice,,,,voice,,,,,,,
,我,wǒ,I,,我是他的朋友。,Wǒ shì tā de péngyou.,I'm a friend of his.,,老师们都喜欢我。,Lǎoshīmen dōu xǐhuan wǒ.,All my teachers like me.
,是,shì,to be,,他是我的朋友。,,,,,,
